order_number,created_at,payment_details,paymentId,order_id,txnid
3107,"03/02/2021, 05:12 PM","{""ORDERID"":""16026908000407-20210203115520"",""MID"":""WeWork88667919530823"",""TXNID"":""20210203111212800110168348679647933"",""TXNAMOUNT"":""472.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-03 17:25:21.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16026908000407"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""103417478535""}",,16026908000407-20210203115520,20210203111212800110168348679647933
3157,"04/02/2021, 09:54 AM","{""ORDERID"":""16032162316439-20210204044036"",""MID"":""WeWork88667919530823"",""TXNID"":""20210204111212800110168564279458015"",""TXNAMOUNT"":""88.50"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-04 10:10:37.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16032162316439"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70389273958"",""BANKNAME"":""ICICI Bank""}",,16032162316439-20210204044036,20210204111212800110168564279458015
3185,"04/02/2021, 12:20 PM","{""ORDERID"":""16032839205015-20210204072136"",""MID"":""WeWork88667919530823"",""TXNID"":""20210204111212800110168549779497845"",""TXNAMOUNT"":""1770.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-04 12:51:36.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16032839205015"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70390657554"",""BANKNAME"":""HDFC Bank""}",,16032839205015-20210204072136,20210204111212800110168549779497845
3191,"04/02/2021, 03:24 PM","{""ORDERID"":""16033482834071-20210204100108"",""MID"":""WeWork88667919530823"",""TXNID"":""20210204111212800110168628080017314"",""TXNAMOUNT"":""4720.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-04 15:31:11.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16033482834071"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70392099270"",""BANKNAME"":""Citibank""}",,16033482834071-20210204100108,20210204111212800110168628080017314
3210,"05/02/2021, 09:04 AM","{""CURRENCY"":""INR"",""GATEWAYNAME"":""WALLET"",""RESPMSG"":""Txn Success"",""BANKNAME"":""WALLET"",""PAYMENTMODE"":""PPI"",""MID"":""WeWork88667919530823"",""MERC_UNQ_REF"":""16039073742999"",""RESPCODE"":""01"",""TXNID"":""20210205111212800110168797780233297"",""TXNAMOUNT"":""236.00"",""ORDERID"":""16039073742999-20210205034039"",""STATUS"":""TXN_SUCCESS"",""BANKTXNID"":""152311855758"",""TXNDATE"":""2021-02-05 09:10:39.0""}",,16039073742999-20210205034039,20210205111212800110168797780233297
3217,"05/02/2021, 09:34 AM","{""ORDERID"":""16039245774999-20210205042417"",""MID"":""WeWork88667919530823"",""TXNID"":""20210205111212800110168845480285324"",""TXNAMOUNT"":""14160.00"",""PAYMENTMODE"":""NB"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-05 09:54:18.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16039245774999"",""GATEWAYNAME"":""HDFC"",""BANKTXNID"":""210369570600"",""BANKNAME"":""HDFC""}",,16039245774999-20210205042417,20210205111212800110168845480285324
3254,"05/02/2021, 01:07 PM","{""ORDERID"":""16040487846039-20210205092616"",""MID"":""WeWork88667919530823"",""TXNID"":""20210205111212800110168058280281454"",""TXNAMOUNT"":""141.60"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-05 14:56:17.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16040487846039"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""103614270613""}",,16040487846039-20210205092616,20210205111212800110168058280281454
3244,"05/02/2021, 01:10 PM","{""ORDERID"":""16040111112343-20210205075109"",""MID"":""WeWork88667919530823"",""TXNID"":""20210205111212800110168950479774710"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-05 13:21:11.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16040111112343"",""GATEWAYNAME"":""PPBLC"",""BANKTXNID"":""103699299682""}",,16040111112343-20210205075109,20210205111212800110168950479774710
3264,"05/02/2021, 01:11 PM","{""ORDERID"":""16040109867159-20210205123549"",""MID"":""WeWork88667919530823"",""TXNID"":""20210205111212800110168242280451100"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-05 18:05:52.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16040109867159"",""GATEWAYNAME"":""PPBLC"",""BANKTXNID"":""103606110018""}",,16040109867159-20210205123549,20210205111212800110168242280451100
3262,"05/02/2021, 05:40 PM","{""ORDERID"":""16041250160791-20210205122945"",""MID"":""WeWork88667919530823"",""TXNID"":""20210205111212800110168459180161355"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-05 17:59:46.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16041250160791"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70401931799"",""BANKNAME"":""ICICI Bank""}",,16041250160791-20210205122945,20210205111212800110168459180161355
